,,,,,
,,,,,
,,,,,
,Datum,outbound,inbound,Zusagen,Zielzusagen
,,,,,
,Januar,,,,"8,333333333"
,Februar,,,,"8,333333333"
,März,,,,"8,333333333"
,April,,,,"8,333333333"
,Mai,,,,"8,333333333"
,Juni,,,,"8,333333333"
,Juli,,,,"8,333333333"
,August,,,,"8,333333333"
,September,,,,"8,333333333"
,Oktober,,,,"8,333333333"
,November,,,,"8,333333333"
,Dezember,,,,"8,333333333"
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
